"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1582","Check displaying of dashboard page","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
"","1217","Navigation from login page to registration page","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","2470","User login with correct email and password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1603","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1199","Check displaying of empty courses list","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","2208","Create course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1510","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","3021","Edit course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1476","Registration with correct email, username and password","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
"","1303","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
