"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1146","Navigation from login page to registration page","LMS system","Thu Jul 30 21:21:26 UTC 2026","passed","Thu Jul 30 21:21:27 UTC 2026","Authorization","Authentication","",""
"","1414","Check displaying of empty courses list","LMS system","Thu Jul 30 21:21:31 UTC 2026","passed","Thu Jul 30 21:21:32 UTC 2026","Courses","Courses","",""
"","2956","Edit course","LMS system","Thu Jul 30 21:21:30 UTC 2026","passed","Thu Jul 30 21:21:33 UTC 2026","Courses","Courses","",""
"","1287","User login with wrong email or password","LMS system","Thu Jul 30 21:21:25 UTC 2026","passed","Thu Jul 30 21:21:27 UTC 2026","Authorization","Authentication","",""
"","1471","Check displaying of dashboard page","LMS system","Thu Jul 30 21:21:33 UTC 2026","passed","Thu Jul 30 21:21:34 UTC 2026","Dashboard","Dashboard","",""
"","1802","Registration with correct email, username and password","LMS system","Thu Jul 30 21:21:28 UTC 2026","passed","Thu Jul 30 21:21:29 UTC 2026","Dashboard","Dashboard","",""
"","1123","User login with wrong email or password","LMS system","Thu Jul 30 21:21:27 UTC 2026","passed","Thu Jul 30 21:21:28 UTC 2026","Authorization","Authentication","",""
"","2453","Create course","LMS system","Thu Jul 30 21:21:33 UTC 2026","passed","Thu Jul 30 21:21:36 UTC 2026","Courses","Courses","",""
"","2331","User login with correct email and password","LMS system","Thu Jul 30 21:21:24 UTC 2026","passed","Thu Jul 30 21:21:26 UTC 2026","Authorization","Authentication","",""
"","1524","User login with wrong email or password","LMS system","Thu Jul 30 21:21:24 UTC 2026","passed","Thu Jul 30 21:21:25 UTC 2026","Authorization","Authentication","",""
